province,city
湖北      ,武汉;孝感;黄冈;荆州;咸宁;荆门;随州;黄石;宜昌;十堰;恩施州;仙桃;襄阳;天门;鄂州;潜江;神农架
浙江      ,杭州;台州;温州;宁波;嘉兴;绍兴;金华;舟山;衢州;丽水;湖州;省十里丰监狱
重庆      ,万州区;长寿区;忠县;开州区;大渡口区;渝北区;云阳县;巫山县;永川区;九龙坡区;两江新区;石柱县;巫溪县;奉节县;垫江县;合川区;璧山区;江北区;沙坪坝区;涪陵区;秀山县;梁平区;城口县;丰都县;大足区;铜梁区;巴南区;江津区;綦江区;潼南区;黔江区;南岸区;渝中区;武隆区;荣昌区;彭水县;酉阳县;高新区;万盛经开区
湖南      ,长沙;怀化;岳阳;娄底;永州;益阳;衡阳;常德;湘潭;邵阳;郴州;株洲;湘西自治州;张家界
安徽      ,合肥;阜阳;亳州;安庆;马鞍山;铜陵;六安;滁州;池州;蚌埠;芜湖;宿州;宣城;淮北;淮南;黄山;宿松
宁夏      ,银川;中卫;固原;吴忠;石嘴山;宁东管委会
山东      ,济南;威海;临沂;日照;青岛;烟台;济宁;潍坊;德州;聊城;滨州;菏泽;淄博;枣庄;泰安
新疆      ,伊犁州;吐鲁番;兵团第七师;兵团第九师;第八师石河子;昌吉州;兵团第六师五家渠市;阿克苏;巴州;兵团第四师;兵团第十二师
江西      ,南昌;抚州;九江;赣州;上饶;萍乡;新余;吉安;景德镇;宜春;赣江新区;鹰潭
江苏      ,南京;常州;苏州;连云港;扬州;南通;无锡;镇江;盐城;宿迁;淮安;泰州;徐州
海南      ,海口;万宁;三亚;儋州;临高县;陵水县;澄迈县;琼海;琼中县;东方;定安县;昌江县;乐东;文昌;保亭县
辽宁      ,沈阳;大连;朝阳市;铁岭;葫芦岛;本溪;营口;丹东;盘锦;辽阳;锦州;鞍山;阜新
内蒙古     ,呼和浩特;锡林郭勒;赤峰;鄂尔多斯;包头;兴安盟乌兰浩特;通辽市;呼伦贝尔;巴彦淖尔;乌兰察布;乌海
黑龙江     ,哈尔滨;牡丹江;大庆;绥化;齐齐哈尔;佳木斯;双鸭山;七台河;大兴安岭;鸡西;鹤岗;黑河;伊春
河北      ,石家庄;沧州;保定;承德;邯郸;廊坊;邢台;衡水;唐山;张家口;秦皇岛
山西      ,太原;运城;晋中;大同;长治;阳泉;朔州;临汾;吕梁;晋城;忻州
吉林      ,吉林;长春;四平;公主岭;通化;延边;辽源;松原;白城;梅河口
青海      ,西宁;海北州
天津      ,河北区;河东区;外地来津;河西区;和平区;宝坻区;东丽区;南开区;西青区;红桥区;滨海新区;津南区;宁河区;北辰区;武清区
上海      ,外地来沪;浦东;长宁;静安;徐汇;虹口;闵行;青浦;黄浦;宝山;嘉定;崇明;奉贤;金山;松江;杨浦;普陀
广东      ,广州;深圳;珠海;佛山;惠州;阳江;湛江;肇庆;韶关;清远;揭阳;中山;东莞;汕头;梅州;汕尾;河源;茂名;江门;潮州
福建      ,福州;厦门;泉州;漳州;宁德;三明;莆田;南平;龙岩
广西      ,桂林;北海;柳州;河池;防城港;梧州;百色;玉林;南宁;钦州;贺州;来宾;贵港
云南      ,昆明;丽江市;西双版纳州;曲靖;玉溪;红河;大理;保山;昭通;德宏;普洱;临沧;楚雄州;文山州
甘肃      ,兰州;白银;临夏;定西;张掖;陇南;金昌;天水;平凉;甘南州;庆阳
四川      ,成都;广安;绵阳;遂宁;达州;德阳;雅安;自贡;泸州;内江;南充;甘孜;乐山;眉山;资阳;宜宾;凉山;巴中;广元;攀枝花;阿坝州
贵州      ,贵阳;铜仁;黔南州;黔西南州;六盘水;遵义;毕节;黔东南州;安顺
