"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
572926;5371;54565;"2004-12-04 15:34:00";"2004-12-04 16:34:00";75.0000;30.0000;0.8300;1.0000;6;GEM;C;1
407539;3996;37718;"2004-12-04 15:34:00";"2004-12-04 16:34:00";75.0000;30.0000;0.8300;1.0000;6;GEM;C;1
406455;3974;37610;"2004-12-04 17:00:00";"2004-12-04 18:00:00";30.0000;-20.0000;0.8000;1.0000;6.5;GEM;C;2
407543;3996;37718;"2004-12-04 17:19:00";"2004-12-04 18:19:00";105.0000;30.0000;0.5800;1.0000;6;GEM;C;1
572930;5371;54565;"2004-12-04 17:19:00";"2004-12-04 18:19:00";105.0000;30.0000;0.5800;1.0000;6;GEM;C;1
406460;3974;37610;"2004-12-04 18:00:00";"2004-12-04 19:00:00";45.0000;-20.0000;0.8000;1.0000;6;GEM;C;4
407548;3996;37718;"2004-12-04 18:19:00";"2004-12-04 19:19:00";120.0000;30.0000;0.5500;1.0000;5;GEM;C;2
572935;5371;54565;"2004-12-04 18:19:00";"2004-12-04 19:19:00";120.0000;30.0000;0.5500;1.0000;5;GEM;C;2
406466;3974;37610;"2004-12-04 19:00:00";"2004-12-04 20:00:00";60.0000;-20.0000;0.9000;1.0000;5;GEM;C;2
407554;3996;37718;"2004-12-04 19:19:00";"2004-12-04 20:19:00";135.0000;30.0000;0.7300;1.0000;5;GEM;C;1
572941;5371;54565;"2004-12-04 19:19:00";"2004-12-04 20:19:00";135.0000;30.0000;0.7300;1.0000;5;GEM;C;1
406471;3974;37610;"2004-12-04 20:00:00";"2004-12-04 21:00:00";100.0000;-20.0000;0.8000;1.0000;4.5;GEM;C;4
407559;3996;37718;"2004-12-04 20:19:00";"2004-12-04 21:19:00";150.0000;30.0000;0.8200;1.0000;5;GEM;C;1
572946;5371;54565;"2004-12-04 20:19:00";"2004-12-04 21:19:00";150.0000;30.0000;0.8200;1.0000;5;GEM;C;1
406476;3974;37610;"2004-12-04 21:00:00";"2004-12-04 22:00:00";120.0000;-20.0000;0.8000;1.0000;4;GEM;C;2
407564;3996;37718;"2004-12-04 21:19:00";"2004-12-04 22:19:00";165.0000;30.0000;0.8000;1.0000;5;GEM;C;0
572951;5371;54565;"2004-12-04 21:19:00";"2004-12-04 22:19:00";165.0000;30.0000;0.8000;1.0000;5;GEM;C;0
572956;5371;54565;"2004-12-04 22:19:00";"2004-12-04 23:19:00";180.0000;30.0000;0.9700;1.0000;5;GEM;C;0
407569;3996;37718;"2004-12-04 22:19:00";"2004-12-04 23:19:00";180.0000;30.0000;0.9700;1.0000;5;GEM;C;0
407574;3996;37718;"2004-12-04 23:34:00";"2004-12-05 00:38:00";195.0000;30.0000;0.8800;1.0000;5;GEM;C;0
572961;5371;54565;"2004-12-04 23:34:00";"2004-12-05 00:38:00";195.0000;30.0000;0.8800;1.0000;5;GEM;C;0
