"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
717686;1585;64025;"2010-03-27 12:30:00";"2010-03-27 13:00:00";46.0000;90.0000;0.4500;1.2800;7.24;PER;C;16
718617;214;64163;"2010-07-04 22:11:00";"2010-07-04 23:08:00";280.0000;30.0000;0.8800;1.0000;6.16;PER;C;1
718951;7154;64205;"2010-07-08 22:48:00";"2010-07-08 23:48:00";280.0000;52.0000;1.0000;1.0000;6.05;PER;P;0
718957;7154;64205;"2010-07-08 23:48:00";"2010-07-09 00:53:00";300.0000;49.0000;1.0800;1.0000;6.05;PER;P;0
291238;3177;26406;"2010-07-09 21:00:00";"2010-07-09 22:03:00";262.0000;50.0000;1.0000;1.0000;5.96;PER;P;2
718651;131;64166;"2010-07-09 21:09:00";"2010-07-09 22:12:00";285.0000;40.0000;1.0000;1.0500;6.69;PER;C;1
718963;7154;64206;"2010-07-09 22:40:00";"2010-07-10 00:12:00";270.0000;50.0000;1.5000;1.5000;5.8;PER;P;0
720665;4015;64294;"2010-07-10 20:10:00";"2010-07-10 21:10:00";290.0000;42.0000;0.6830;1.0000;5.98;PER;P;11
255347;199;23301;"2010-07-10 21:00:00";"2010-07-10 22:00:00";290.0000;50.0000;1.0000;1.0000;6.33;PER;C;1
291242;3177;26407;"2010-07-10 21:00:00";"2010-07-10 22:02:00";315.0000;50.0000;1.0000;1.0000;5.82;PER;P;0
720672;4015;64294;"2010-07-10 21:10:00";"2010-07-10 22:10:00";290.0000;42.0000;0.7600;1.0000;5.58;PER;P;5
718495;195;64145;"2010-07-10 21:21:00";"2010-07-10 23:30:00";330.0000;50.0000;1.9130;1.0000;4.88;PER;P;5
255351;199;23301;"2010-07-10 22:00:00";"2010-07-10 23:00:00";310.0000;40.0000;1.0000;1.0000;6.43;PER;C;0
291246;3177;26407;"2010-07-10 22:02:00";"2010-07-10 23:05:00";315.0000;50.0000;1.0000;1.0000;6.01;PER;P;4
720679;4015;64294;"2010-07-10 22:10:00";"2010-07-10 23:10:00";290.0000;42.0000;0.7160;1.0000;6.5;PER;P;5
255355;199;23301;"2010-07-10 23:00:00";"2010-07-11 00:00:00";310.0000;40.0000;1.0000;1.0000;6.34;PER;C;1
291250;3177;26407;"2010-07-10 23:05:00";"2010-07-10 23:52:00";315.0000;50.0000;0.7500;1.0000;5.99;PER;P;1
720686;4015;64294;"2010-07-10 23:10:00";"2010-07-11 00:10:00";290.0000;42.0000;0.5600;1.0000;5.91;PER;P;9
255359;199;23301;"2010-07-11 00:00:00";"2010-07-11 01:00:00";340.0000;30.0000;1.0000;1.0000;6.23;PER;C;1
291254;3177;26408;"2010-07-11 21:00:00";"2010-07-11 22:03:00";292.0000;50.0000;1.0000;1.0000;5.86;PER;P;1
718497;195;64146;"2010-07-11 21:34:00";"2010-07-11 23:42:00";330.0000;50.0000;1.8830;1.0000;5.04;PER;P;5
291259;3177;26408;"2010-07-11 22:03:00";"2010-07-11 23:06:00";292.0000;50.0000;1.0000;1.0000;6.06;PER;P;2
718969;7154;64207;"2010-07-12 00:24:00";"2010-07-12 01:40:00";310.0000;45.0000;1.2600;1.0000;5.75;PER;P;0
140305;1968;12866;"2010-07-12 05:23:00";"2010-07-12 06:23:00";310.0000;5.0000;1.0000;1.0000;6.4;PER;C;0
140308;1968;12866;"2010-07-12 06:23:00";"2010-07-12 07:23:00";325.0000;5.0000;1.0000;1.0000;6.4;PER;C;1
255363;199;23302;"2010-07-12 20:45:00";"2010-07-12 21:45:00";290.0000;50.0000;1.0000;1.0000;6.17;PER;C;1
255367;199;23302;"2010-07-12 21:45:00";"2010-07-12 22:45:00";310.0000;40.0000;1.0000;1.0000;6.24;PER;C;0
255371;199;23302;"2010-07-12 22:45:00";"2010-07-12 23:45:00";310.0000;40.0000;1.0000;1.0000;6.29;PER;C;0
718975;7154;64208;"2010-07-12 22:50:00";"2010-07-13 00:04:00";285.0000;45.0000;1.2000;1.0000;6.05;PER;P;2
255375;199;23302;"2010-07-12 23:45:00";"2010-07-13 01:00:00";340.0000;30.0000;1.2500;1.0000;6.11;PER;C;1
149345;2035;13701;"2010-07-13 20:45:00";"2010-07-13 21:45:00";290.0000;50.0000;1.0000;1.0000;6;PER;C;1
255377;199;23303;"2010-07-13 20:45:00";"2010-07-13 21:45:00";290.0000;50.0000;1.0000;1.0000;5.97;PER;C;1
